@relation humvar_complete

@attribute Binding numeric
@attribute SProtFT0 numeric
@attribute SProtFT1 numeric
@attribute SProtFT2 numeric
@attribute SProtFT3 numeric
@attribute SProtFT4 numeric
@attribute SProtFT5 numeric
@attribute SProtFT6 numeric
@attribute SProtFT7 numeric
@attribute SProtFT8 numeric
@attribute SProtFT9 numeric
@attribute SProtFT10 numeric
@attribute SProtFT11 numeric
@attribute SProtFT12 numeric
@attribute Interface numeric
@attribute Relaccess numeric
@attribute Impact numeric
@attribute HBonds numeric
@attribute SPhobic numeric
@attribute CPhim numeric
@attribute BCharge numeric
@attribute SSGeom numeric
@attribute Voids numeric
@attribute MLargest1 numeric
@attribute MLargest2 numeric
@attribute MLargest3 numeric
@attribute MLargest4 numeric
@attribute MLargest5 numeric
@attribute MLargest6 numeric
@attribute MLargest7 numeric
@attribute MLargest8 numeric
@attribute MLargest9 numeric
@attribute MLargest10 numeric
@attribute NLargest1 numeric
@attribute NLargest2 numeric
@attribute NLargest3 numeric
@attribute NLargest4 numeric
@attribute NLargest5 numeric
@attribute NLargest6 numeric
@attribute NLargest7 numeric
@attribute NLargest8 numeric
@attribute NLargest9 numeric
@attribute NLargest10 numeric
@attribute Clash numeric
@attribute Glycine numeric
@attribute Proline numeric
@attribute CisPro numeric
@attribute dataset {PD,SNP}

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.577,0.548201,20,0,0.48,-2,0,0,52.447,38.272,27.752,24.537,23.162,20.267,14.991,14.227,13.604,13.445,52.447,38.272,27.752,24.537,23.162,20.267,14.991,14.227,13.604,13.445,-2.17,-100,-100,0,PD
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-60.991,18.708,1,20,-0.6,0,0,0,0,306.728,260.547,163.398,143.968,100.896,89.45,81.268,80.864,80.266,72.735,306.728,260.547,163.398,143.968,100.896,89.45,81.268,80.864,80.266,72.735,-2.28,-100,-100,0,SNP
1,0,0,0,0,0,0,0,0,0,0,0,0,0,-42.108,0.96,1,-20,-1.96,0,1,0,0,391.098,338.983,330.793,312.863,227.105,204.39,200.459,167.905,153.97,138.447,391.098,338.983,330.793,312.863,227.105,204.39,200.459,167.905,153.97,138.447,0,-100,-100,0,PD
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.109,1,20,0,0.57,0,0,0,220.845,194.583,193.88,171.625,167.826,164.53,148.084,125.909,104.876,92.911,220.845,194.583,193.88,171.625,167.826,164.53,148.084,125.909,104.876,92.911,-3.28,-100,-100,0,SNP
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,1,20,-0.08,0,0,0,7.19,344.86,243.191,202.706,199.521,149.908,107.227,100.924,99.282,98.411,98.126,352.05,243.191,202.706,199.521,149.908,107.227,100.924,99.282,98.411,98.126,-5.66,-100,-100,0,PD
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.357,0.291618,20,-0.38,0,0,0,0,176.009,170.545,106.965,104.648,87.377,84.474,82.71,76.04,71.15,57.736,176.009,170.545,106.965,104.648,87.377,84.474,82.71,76.04,71.15,57.736,-2.17,-100,-100,0,SNP
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.546,0.69772,-20,-0.79,0,0,0,0,9.535,7.37,3.769,3.319,2.199,0,0,0,0,0,9.535,7.37,3.769,3.319,2.199,0,0,0,0,0,-4.82,-100,-100,0,PD
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.196,0.360856,20,-2.17,0,1,0,0,103.487,98.333,92.394,84.77,73.686,72.988,52.55,52.32,47.542,46.709,103.487,98.333,92.394,84.77,73.686,72.988,52.55,52.32,47.542,46.709,-5.64,-100,-100,0,SNP
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.043,0.381486,20,0,0.12,0,0,0,1183.457,922.883,768.313,624.298,466.102,460.304,348.065,279.928,232.417,221.576,1183.457,922.883,768.313,624.298,466.102,460.304,348.065,279.928,232.417,221.576,1.72,-1.5469,-100,0,PD
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.072,68.876,0.666098,20,0,0.08,1,0,0,85.624,54.96,47.454,41.197,40.834,37.345,32.599,30.618,24.8,23.758,85.624,54.96,47.454,41.197,40.834,37.345,32.599,30.618,24.8,23.758,-5.4,-100,-100,0,SNP
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.319,1,20,-1.84,0,1,0,0,100.853,85.731,76.998,55.629,50.863,47.287,39.666,32.125,31.622,29.827,100.853,85.731,76.998,55.629,50.863,47.287,39.666,32.125,31.622,29.827,-3.68,-100,-100,0,PD
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.052,1,20,0,0.38,0,0,0,413.106,28.121,17.907,17.065,16.185,15.839,14.957,13.313,12.403,12.217,413.106,28.121,17.907,17.065,16.185,15.839,14.957,13.313,12.403,12.217,-3.98,-100,-100,0,SNP
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.959,91.376,1,20,0,0.48,-2,0,-0.435,29.147,17.998,15.036,14.483,14.157,13.795,13.781,12.939,12.073,11.742,28.712,22.459,21.705,19.318,16.078,14.962,13.766,13.622,13.44,12.989,-1.46,-100,-100,0,PD
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.468,0.333333,20,0,0.12,0,0,0,352.362,202.309,196.897,193.48,185.248,154.338,148.682,118.488,116.333,105.055,352.362,202.309,196.897,185.248,154.338,148.682,118.488,116.333,105.055,104.598,-12.62,-100,-100,0,SNP
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.88,0.96861,20,0,0.6,0,0,0,601.034,272.924,193.543,113.616,79.54,75.434,62.945,56.809,55.505,54.53,601.034,272.924,193.543,113.616,79.54,75.434,62.945,56.809,55.505,54.53,5.9,-100,1.2282,0,PD
1,0,0,0,0,0,0,0,0,0,0,0,0,0,-19.225,0.859,1,20,-0.19,0,0,0,0,94.745,83.827,78.979,61.119,60.302,52.83,51.433,51.033,50.699,50.259,94.745,83.827,78.979,61.119,60.302,52.83,51.433,51.033,50.699,50.259,-8.39,-100,-100,0,SNP
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,28.943,1,20,0,0.02,0,1,0,85.932,48.114,45.571,45.029,44.546,40.897,34.705,33.814,28.966,28.143,85.932,48.114,45.029,44.546,43.638,40.897,34.705,33.814,28.966,28.143,-12.83,-100,-100,0,PD
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.453,1,20,-1.4,0,0,0,0,176.3,156.241,129.115,123.339,111.579,111.204,111.143,106.478,100.253,97.8,176.3,156.241,129.115,123.339,111.579,111.204,111.143,106.478,100.253,97.8,-8.55,-100,-100,0,SNP
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.478,1,20,0,0.48,-2,0,0,218.884,107.361,92.676,71.862,59.957,53.863,39.808,32.388,20.876,13.945,218.884,107.361,92.676,71.862,59.957,53.863,39.808,32.388,20.876,13.945,0.36,-100,-100,0,PD
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.953,1,20,-2.53,0,1,0,0,45.36,31.223,26.944,24.339,16.474,16.391,13.808,12.949,11.935,11.775,45.36,31.223,26.944,24.339,16.474,15.091,13.808,12.949,11.935,11.775,-3.64,-100,-100,0,SNP
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.126,1,20,0,0.38,0,0,0,48.839,38.068,37.325,36.548,34.241,17.382,16.881,16.465,15.708,14.922,48.839,38.068,37.325,36.548,34.241,17.382,16.881,16.465,15.708,14.922,-8.25,-100,-100,0,PD
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.657,0.596519,10.86,0,1.54,-1,0,0,278.064,176.723,113.981,104.878,89.778,81.878,79.055,76.588,76,72.678,278.064,176.723,113.981,104.878,89.778,81.878,79.055,76.588,76,72.678,-12.28,-100,-100,0,SNP
